Statistic,Year,Age_Group,Sex,Education_Level,Region,UNIT,Employment_Rate
Annual employment rate,2021,40 - 44 years,Male,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,
Annual employment rate,2021,40 - 44 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,85.5
Annual employment rate,2021,40 - 44 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,90.7
Annual employment rate,2021,40 - 44 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,87.9
Annual employment rate,2021,40 - 44 years,Male,Tertiary education (Levels 5-8),Northern and Western,%,96.1
Annual employment rate,2021,40 - 44 years,Male,Tertiary education (Levels 5-8),Southern,%,87.9
Annual employment rate,2021,40 - 44 years,Male,Tertiary education (Levels 5-8),Eastern and Midland,%,96.2
Annual employment rate,2021,40 - 44 years,Female,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2021,40 - 44 years,Female,Less than primary (Level 0),Southern,%,
Annual employment rate,2021,40 - 44 years,Female,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2021,40 - 44 years,Female,Primary and lower secondary education (Levels 1-2),Northern and Western,%,
Annual employment rate,2021,40 - 44 years,Female,Primary and lower secondary education (Levels 1-2),Southern,%,
Annual employment rate,2021,40 - 44 years,Female,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,
Annual employment rate,2021,40 - 44 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,63.8
Annual employment rate,2021,40 - 44 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,61.8
Annual employment rate,2021,40 - 44 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,70.3
Annual employment rate,2021,40 - 44 years,Female,Tertiary education (Levels 5-8),Northern and Western,%,86.3
Annual employment rate,2021,40 - 44 years,Female,Tertiary education (Levels 5-8),Southern,%,85.3
Annual employment rate,2021,40 - 44 years,Female,Tertiary education (Levels 5-8),Eastern and Midland,%,83.8
Annual employment rate,2021,45 - 49 years,Male,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2021,45 - 49 years,Male,Less than primary (Level 0),Southern,%,
Annual employment rate,2021,45 - 49 years,Male,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2021,45 - 49 years,Male,Primary and lower secondary education (Levels 1-2),Northern and Western,%,
Annual employment rate,2021,45 - 49 years,Male,Primary and lower secondary education (Levels 1-2),Southern,%,
Annual employment rate,2021,45 - 49 years,Male,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,
Annual employment rate,2021,45 - 49 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,87.5
Annual employment rate,2021,45 - 49 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,87.0
Annual employment rate,2021,45 - 49 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,85.8
Annual employment rate,2021,45 - 49 years,Male,Tertiary education (Levels 5-8),Northern and Western,%,86.6
Annual employment rate,2021,45 - 49 years,Male,Tertiary education (Levels 5-8),Southern,%,94.5
Annual employment rate,2021,45 - 49 years,Male,Tertiary education (Levels 5-8),Eastern and Midland,%,89.9
Annual employment rate,2021,45 - 49 years,Female,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2021,45 - 49 years,Female,Less than primary (Level 0),Southern,%,
Annual employment rate,2021,45 - 49 years,Female,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2021,45 - 49 years,Female,Primary and lower secondary education (Levels 1-2),Northern and Western,%,
Annual employment rate,2021,45 - 49 years,Female,Primary and lower secondary education (Levels 1-2),Southern,%,
Annual employment rate,2021,45 - 49 years,Female,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,
Annual employment rate,2021,45 - 49 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,
Annual employment rate,2021,45 - 49 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,67.8
Annual employment rate,2021,45 - 49 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,61.8
Annual employment rate,2021,45 - 49 years,Female,Tertiary education (Levels 5-8),Northern and Western,%,91.6
Annual employment rate,2021,45 - 49 years,Female,Tertiary education (Levels 5-8),Southern,%,84.6
Annual employment rate,2021,45 - 49 years,Female,Tertiary education (Levels 5-8),Eastern and Midland,%,85.8
Annual employment rate,2021,50 - 54 years,Male,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2021,50 - 54 years,Male,Less than primary (Level 0),Southern,%,
Annual employment rate,2021,50 - 54 years,Male,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2021,50 - 54 years,Male,Primary and lower secondary education (Levels 1-2),Northern and Western,%,
Annual employment rate,2021,50 - 54 years,Male,Primary and lower secondary education (Levels 1-2),Southern,%,64.7
Annual employment rate,2021,50 - 54 years,Male,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,79.9
Annual employment rate,2021,50 - 54 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,80.2
Annual employment rate,2021,50 - 54 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,77.4
Annual employment rate,2021,50 - 54 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,84.6
Annual employment rate,2021,50 - 54 years,Male,Tertiary education (Levels 5-8),Northern and Western,%,95.4
Annual employment rate,2021,50 - 54 years,Male,Tertiary education (Levels 5-8),Southern,%,93.4
Annual employment rate,2021,50 - 54 years,Male,Tertiary education (Levels 5-8),Eastern and Midland,%,88.8
Annual employment rate,2021,50 - 54 years,Female,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2021,50 - 54 years,Female,Less than primary (Level 0),Southern,%,
Annual employment rate,2021,50 - 54 years,Female,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2021,50 - 54 years,Female,Primary and lower secondary education (Levels 1-2),Northern and Western,%,
Annual employment rate,2021,50 - 54 years,Female,Primary and lower secondary education (Levels 1-2),Southern,%,
Annual employment rate,2021,50 - 54 years,Female,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,
Annual employment rate,2021,50 - 54 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,71.9
Annual employment rate,2021,50 - 54 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,65.5
Annual employment rate,2021,50 - 54 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,67.9
Annual employment rate,2021,50 - 54 years,Female,Tertiary education (Levels 5-8),Northern and Western,%,89.6
Annual employment rate,2021,50 - 54 years,Female,Tertiary education (Levels 5-8),Southern,%,81.2
Annual employment rate,2021,50 - 54 years,Female,Tertiary education (Levels 5-8),Eastern and Midland,%,84.8
Annual employment rate,2021,55 - 59 years,Male,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2021,55 - 59 years,Male,Less than primary (Level 0),Southern,%,
Annual employment rate,2021,55 - 59 years,Male,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2021,55 - 59 years,Male,Primary and lower secondary education (Levels 1-2),Northern and Western,%,72.3
Annual employment rate,2021,55 - 59 years,Male,Primary and lower secondary education (Levels 1-2),Southern,%,71.1
Annual employment rate,2021,55 - 59 years,Male,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,67.0
Annual employment rate,2021,55 - 59 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,79.0
Annual employment rate,2021,55 - 59 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,76.0
Annual employment rate,2021,55 - 59 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,73.3
Annual employment rate,2021,55 - 59 years,Male,Tertiary education (Levels 5-8),Northern and Western,%,89.2
Annual employment rate,2021,55 - 59 years,Male,Tertiary education (Levels 5-8),Southern,%,85.3
Annual employment rate,2021,55 - 59 years,Male,Tertiary education (Levels 5-8),Eastern and Midland,%,85.6
Annual employment rate,2021,55 - 59 years,Female,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2021,55 - 59 years,Female,Less than primary (Level 0),Southern,%,
Annual employment rate,2021,55 - 59 years,Female,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2021,55 - 59 years,Female,Primary and lower secondary education (Levels 1-2),Northern and Western,%,
Annual employment rate,2021,55 - 59 years,Female,Primary and lower secondary education (Levels 1-2),Southern,%,
Annual employment rate,2021,55 - 59 years,Female,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,
Annual employment rate,2021,55 - 59 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,72.0
Annual employment rate,2021,55 - 59 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,57.4
Annual employment rate,2021,55 - 59 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,65.8
Annual employment rate,2021,55 - 59 years,Female,Tertiary education (Levels 5-8),Northern and Western,%,77.5
Annual employment rate,2021,55 - 59 years,Female,Tertiary education (Levels 5-8),Southern,%,77.8
Annual employment rate,2021,55 - 59 years,Female,Tertiary education (Levels 5-8),Eastern and Midland,%,75.6
Annual employment rate,2021,60 - 64 years,Male,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2021,60 - 64 years,Male,Less than primary (Level 0),Southern,%,
Annual employment rate,2021,60 - 64 years,Male,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2021,60 - 64 years,Male,Primary and lower secondary education (Levels 1-2),Northern and Western,%,60.2
Annual employment rate,2021,60 - 64 years,Male,Primary and lower secondary education (Levels 1-2),Southern,%,39.7
Annual employment rate,2021,60 - 64 years,Male,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,49.2
Annual employment rate,2021,60 - 64 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,70.1
Annual employment rate,2021,60 - 64 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,63.6
Annual employment rate,2021,60 - 64 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,64.4
Annual employment rate,2021,60 - 64 years,Male,Tertiary education (Levels 5-8),Northern and Western,%,77.4
Annual employment rate,2021,60 - 64 years,Male,Tertiary education (Levels 5-8),Southern,%,62.4
Annual employment rate,2021,60 - 64 years,Male,Tertiary education (Levels 5-8),Eastern and Midland,%,68.2
Annual employment rate,2021,60 - 64 years,Female,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2021,60 - 64 years,Female,Less than primary (Level 0),Southern,%,
Annual employment rate,2021,60 - 64 years,Female,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2021,60 - 64 years,Female,Primary and lower secondary education (Levels 1-2),Northern and Western,%,
Annual employment rate,2021,60 - 64 years,Female,Primary and lower secondary education (Levels 1-2),Southern,%,
Annual employment rate,2021,60 - 64 years,Female,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,
Annual employment rate,2021,60 - 64 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,52.8
Annual employment rate,2021,60 - 64 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,44.8
Annual employment rate,2021,60 - 64 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,49.5
Annual employment rate,2021,60 - 64 years,Female,Tertiary education (Levels 5-8),Northern and Western,%,59.6
Annual employment rate,2021,60 - 64 years,Female,Tertiary education (Levels 5-8),Southern,%,49.6
Annual employment rate,2021,60 - 64 years,Female,Tertiary education (Levels 5-8),Eastern and Midland,%,50.2
Annual employment rate,2022,20 - 24 years,Male,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2022,20 - 24 years,Male,Less than primary (Level 0),Southern,%,
Annual employment rate,2022,20 - 24 years,Male,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2022,20 - 24 years,Male,Primary and lower secondary education (Levels 1-2),Northern and Western,%,
Annual employment rate,2022,20 - 24 years,Male,Primary and lower secondary education (Levels 1-2),Southern,%,
Annual employment rate,2022,20 - 24 years,Male,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,
Annual employment rate,2022,20 - 24 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,57.6
Annual employment rate,2022,20 - 24 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,61.1
Annual employment rate,2022,20 - 24 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,64.6
Annual employment rate,2022,20 - 24 years,Male,Tertiary education (Levels 5-8),Northern and Western,%,
Annual employment rate,2022,20 - 24 years,Male,Tertiary education (Levels 5-8),Southern,%,84.1
Annual employment rate,2022,20 - 24 years,Male,Tertiary education (Levels 5-8),Eastern and Midland,%,86.5
Annual employment rate,2022,20 - 24 years,Female,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2022,20 - 24 years,Female,Less than primary (Level 0),Southern,%,
Annual employment rate,2022,20 - 24 years,Female,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2022,20 - 24 years,Female,Primary and lower secondary education (Levels 1-2),Northern and Western,%,
Annual employment rate,2022,20 - 24 years,Female,Primary and lower secondary education (Levels 1-2),Southern,%,
Annual employment rate,2022,20 - 24 years,Female,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,
Annual employment rate,2022,20 - 24 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,
Annual employment rate,2022,20 - 24 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,60.3
Annual employment rate,2022,20 - 24 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,64.0
Annual employment rate,2022,20 - 24 years,Female,Tertiary education (Levels 5-8),Northern and Western,%,
Annual employment rate,2022,20 - 24 years,Female,Tertiary education (Levels 5-8),Southern,%,78.5
Annual employment rate,2022,20 - 24 years,Female,Tertiary education (Levels 5-8),Eastern and Midland,%,84.0
Annual employment rate,2022,25 - 29 years,Male,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2022,25 - 29 years,Male,Less than primary (Level 0),Southern,%,
Annual employment rate,2022,25 - 29 years,Male,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2022,25 - 29 years,Male,Primary and lower secondary education (Levels 1-2),Northern and Western,%,
Annual employment rate,2022,25 - 29 years,Male,Primary and lower secondary education (Levels 1-2),Southern,%,
Annual employment rate,2022,25 - 29 years,Male,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,
Annual employment rate,2022,25 - 29 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,
Annual employment rate,2022,25 - 29 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,76.0
Annual employment rate,2022,25 - 29 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,73.8
Annual employment rate,2022,25 - 29 years,Male,Tertiary education (Levels 5-8),Northern and Western,%,
Annual employment rate,2022,25 - 29 years,Male,Tertiary education (Levels 5-8),Southern,%,93.4
Annual employment rate,2022,25 - 29 years,Male,Tertiary education (Levels 5-8),Eastern and Midland,%,93.6
Annual employment rate,2022,25 - 29 years,Female,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2022,25 - 29 years,Female,Less than primary (Level 0),Southern,%,
Annual employment rate,2022,25 - 29 years,Female,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2022,25 - 29 years,Female,Primary and lower secondary education (Levels 1-2),Northern and Western,%,
Annual employment rate,2022,25 - 29 years,Female,Primary and lower secondary education (Levels 1-2),Southern,%,
Annual employment rate,2022,25 - 29 years,Female,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,
Annual employment rate,2022,25 - 29 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,
Annual employment rate,2022,25 - 29 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,
Annual employment rate,2022,25 - 29 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,64.3
Annual employment rate,2022,25 - 29 years,Female,Tertiary education (Levels 5-8),Northern and Western,%,
Annual employment rate,2022,25 - 29 years,Female,Tertiary education (Levels 5-8),Southern,%,90.6
Annual employment rate,2022,25 - 29 years,Female,Tertiary education (Levels 5-8),Eastern and Midland,%,89.3
Annual employment rate,2022,30 - 34 years,Male,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2022,30 - 34 years,Male,Less than primary (Level 0),Southern,%,
Annual employment rate,2022,30 - 34 years,Male,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2022,30 - 34 years,Male,Primary and lower secondary education (Levels 1-2),Northern and Western,%,
Annual employment rate,2022,30 - 34 years,Male,Primary and lower secondary education (Levels 1-2),Southern,%,
Annual employment rate,2022,30 - 34 years,Male,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,
Annual employment rate,2022,30 - 34 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,
Annual employment rate,2022,30 - 34 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,88.0
Annual employment rate,2022,30 - 34 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,86.4
Annual employment rate,2022,30 - 34 years,Male,Tertiary education (Levels 5-8),Northern and Western,%,96.9
Annual employment rate,2022,30 - 34 years,Male,Tertiary education (Levels 5-8),Southern,%,93.8
Annual employment rate,2022,30 - 34 years,Male,Tertiary education (Levels 5-8),Eastern and Midland,%,90.2
Annual employment rate,2022,30 - 34 years,Female,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2022,30 - 34 years,Female,Less than primary (Level 0),Southern,%,
Annual employment rate,2022,30 - 34 years,Female,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2022,30 - 34 years,Female,Primary and lower secondary education (Levels 1-2),Northern and Western,%,
Annual employment rate,2022,30 - 34 years,Female,Primary and lower secondary education (Levels 1-2),Southern,%,
Annual employment rate,2022,30 - 34 years,Female,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,
Annual employment rate,2022,30 - 34 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,
Annual employment rate,2022,30 - 34 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,
Annual employment rate,2022,30 - 34 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,71.7
Annual employment rate,2022,30 - 34 years,Female,Tertiary education (Levels 5-8),Northern and Western,%,92.5
Annual employment rate,2022,30 - 34 years,Female,Tertiary education (Levels 5-8),Southern,%,86.1
Annual employment rate,2022,30 - 34 years,Female,Tertiary education (Levels 5-8),Eastern and Midland,%,87.9
Annual employment rate,2022,35 - 39 years,Male,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2022,35 - 39 years,Male,Less than primary (Level 0),Southern,%,
Annual employment rate,2022,35 - 39 years,Male,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2022,35 - 39 years,Male,Primary and lower secondary education (Levels 1-2),Northern and Western,%,
Annual employment rate,2022,35 - 39 years,Male,Primary and lower secondary education (Levels 1-2),Southern,%,
Annual employment rate,2022,35 - 39 years,Male,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,
Annual employment rate,2022,35 - 39 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,
Annual employment rate,2022,35 - 39 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,87.1
Annual employment rate,2022,35 - 39 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,91.9
Annual employment rate,2022,35 - 39 years,Male,Tertiary education (Levels 5-8),Northern and Western,%,100.0
Annual employment rate,2022,35 - 39 years,Male,Tertiary education (Levels 5-8),Southern,%,94.3
Annual employment rate,2022,35 - 39 years,Male,Tertiary education (Levels 5-8),Eastern and Midland,%,93.9
Annual employment rate,2022,35 - 39 years,Female,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2022,35 - 39 years,Female,Less than primary (Level 0),Southern,%,
Annual employment rate,2022,35 - 39 years,Female,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2022,35 - 39 years,Female,Primary and lower secondary education (Levels 1-2),Northern and Western,%,
Annual employment rate,2022,35 - 39 years,Female,Primary and lower secondary education (Levels 1-2),Southern,%,
Annual employment rate,2022,35 - 39 years,Female,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,
Annual employment rate,2022,35 - 39 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,
Annual employment rate,2022,35 - 39 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,59.0
Annual employment rate,2022,35 - 39 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,65.0
Annual employment rate,2022,35 - 39 years,Female,Tertiary education (Levels 5-8),Northern and Western,%,81.3
Annual employment rate,2022,35 - 39 years,Female,Tertiary education (Levels 5-8),Southern,%,83.2
Annual employment rate,2022,35 - 39 years,Female,Tertiary education (Levels 5-8),Eastern and Midland,%,85.1
Annual employment rate,2022,40 - 44 years,Male,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2022,40 - 44 years,Male,Less than primary (Level 0),Southern,%,
Annual employment rate,2022,40 - 44 years,Male,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2022,40 - 44 years,Male,Primary and lower secondary education (Levels 1-2),Northern and Western,%,
Annual employment rate,2022,40 - 44 years,Male,Primary and lower secondary education (Levels 1-2),Southern,%,
Annual employment rate,2022,40 - 44 years,Male,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,
Annual employment rate,2022,40 - 44 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,91.2
Annual employment rate,2022,40 - 44 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,86.8
Annual employment rate,2022,40 - 44 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,92.0
Annual employment rate,2022,40 - 44 years,Male,Tertiary education (Levels 5-8),Northern and Western,%,94.2
Annual employment rate,2022,40 - 44 years,Male,Tertiary education (Levels 5-8),Southern,%,95.9
Annual employment rate,2022,40 - 44 years,Male,Tertiary education (Levels 5-8),Eastern and Midland,%,96.2
Annual employment rate,2022,40 - 44 years,Female,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2022,40 - 44 years,Female,Less than primary (Level 0),Southern,%,
Annual employment rate,2022,40 - 44 years,Female,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2022,40 - 44 years,Female,Primary and lower secondary education (Levels 1-2),Northern and Western,%,
Annual employment rate,2022,40 - 44 years,Female,Primary and lower secondary education (Levels 1-2),Southern,%,
Annual employment rate,2022,40 - 44 years,Female,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,
Annual employment rate,2022,40 - 44 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,84.5
Annual employment rate,2022,40 - 44 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,67.5
Annual employment rate,2022,40 - 44 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,60.6
Annual employment rate,2022,40 - 44 years,Female,Tertiary education (Levels 5-8),Northern and Western,%,85.9
Annual employment rate,2022,40 - 44 years,Female,Tertiary education (Levels 5-8),Southern,%,85.2
Annual employment rate,2022,40 - 44 years,Female,Tertiary education (Levels 5-8),Eastern and Midland,%,84.6
Annual employment rate,2022,45 - 49 years,Male,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2022,45 - 49 years,Male,Less than primary (Level 0),Southern,%,
Annual employment rate,2022,45 - 49 years,Male,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2022,45 - 49 years,Male,Primary and lower secondary education (Levels 1-2),Northern and Western,%,
Annual employment rate,2022,45 - 49 years,Male,Primary and lower secondary education (Levels 1-2),Southern,%,
Annual employment rate,2022,45 - 49 years,Male,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,
Annual employment rate,2022,45 - 49 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,86.6
Annual employment rate,2022,45 - 49 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,87.6
Annual employment rate,2022,45 - 49 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,93.6
Annual employment rate,2022,45 - 49 years,Male,Tertiary education (Levels 5-8),Northern and Western,%,94.6
Annual employment rate,2022,45 - 49 years,Male,Tertiary education (Levels 5-8),Southern,%,90.3
Annual employment rate,2022,45 - 49 years,Male,Tertiary education (Levels 5-8),Eastern and Midland,%,94.4
Annual employment rate,2022,45 - 49 years,Female,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2022,45 - 49 years,Female,Less than primary (Level 0),Southern,%,
Annual employment rate,2022,45 - 49 years,Female,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2022,45 - 49 years,Female,Primary and lower secondary education (Levels 1-2),Northern and Western,%,
Annual employment rate,2022,45 - 49 years,Female,Primary and lower secondary education (Levels 1-2),Southern,%,
Annual employment rate,2022,45 - 49 years,Female,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,
Annual employment rate,2022,45 - 49 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,
Annual employment rate,2022,45 - 49 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,77.1
Annual employment rate,2022,45 - 49 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,80.8
Annual employment rate,2022,45 - 49 years,Female,Tertiary education (Levels 5-8),Northern and Western,%,86.8
Annual employment rate,2022,45 - 49 years,Female,Tertiary education (Levels 5-8),Southern,%,90.1
Annual employment rate,2022,45 - 49 years,Female,Tertiary education (Levels 5-8),Eastern and Midland,%,85.6
Annual employment rate,2022,50 - 54 years,Male,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2022,50 - 54 years,Male,Less than primary (Level 0),Southern,%,
Annual employment rate,2022,50 - 54 years,Male,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2022,50 - 54 years,Male,Primary and lower secondary education (Levels 1-2),Northern and Western,%,
Annual employment rate,2022,50 - 54 years,Male,Primary and lower secondary education (Levels 1-2),Southern,%,75.1
Annual employment rate,2022,50 - 54 years,Male,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,69.5
Annual employment rate,2022,50 - 54 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,85.8
Annual employment rate,2022,50 - 54 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,88.1
Annual employment rate,2022,50 - 54 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,83.2
